comune,pro_com_t,den_prov
Mirabella Imbaccari,087028,Catania
Misterbianco,087029,Catania
Motta Sant'Anastasia,087030,Catania
Nicolosi,087031,Catania
Palagonia,087032,Catania
Paternò,087033,Catania
Pedara,087034,Catania
Piedimonte Etneo,087035,Catania
Raddusa,087036,Catania
Ramacca,087037,Catania
Randazzo,087038,Catania
Riposto,087039,Catania
San Cono,087040,Catania
San Michele di Ganzaria,087043,Catania
San Pietro Clarenza,087044,Catania
Sant'Agata li Battiati,087045,Catania
Sant'Alfio,087046,Catania
Santa Maria di Licodia,087047,Catania
Santa Venerina,087048,Catania
Scordia,087049,Catania
Trecastagni,087050,Catania
Tremestieri Etneo,087051,Catania
Valverde,087052,Catania
Viagrande,087053,Catania
Vizzini,087054,Catania
Zafferana Etnea,087055,Catania
Mazzarrone,087056,Catania
Maniace,087057,Catania
Acate,088001,Ragusa
Chiaramonte Gulfi,088002,Ragusa
Comiso,088003,Ragusa
Ispica,088005,Ragusa
Monterosso Almo,088007,Ragusa
Pozzallo,088008,Ragusa
Santa Croce Camerina,088010,Ragusa
Avola,089002,Siracusa
Buccheri,089003,Siracusa
Buscemi,089004,Siracusa
Canicattini Bagni,089005,Siracusa
Carlentini,089006,Siracusa
Cassaro,089007,Siracusa
Ferla,089008,Siracusa
Floridia,089009,Siracusa
Francofonte,089010,Siracusa
Lentini,089011,Siracusa
Melilli,089012,Siracusa
Noto,089013,Siracusa
Pachino,089014,Siracusa
Palazzolo Acreide,089015,Siracusa
Rosolini,089016,Siracusa
Solarino,089018,Siracusa
Portopalo di Capo Passero,089020,Siracusa
Priolo Gargallo,089021,Siracusa
