data,Palermo,Messina,Catania,Enna,Trapani,Caltanissetta,Siracusa,Ragusa,Agrigento
1955-05-01,16.156425,44.307083,23.963392,25.314342,1.9971793,21.409985,6.8276973,0.37207106,14.372913
1955-06-01,7.55231,31.463268,2.2334845,4.7392697,4.673862,0.30055916,0.12751216,0.0,0.6761489
1955-07-01,0.21477385,10.818926,3.242426,1.1007904,0.025425848,0.0,3.439514,2.494662,0.0
1955-08-01,31.3974,52.169292,37.862877,26.426065,16.444607,14.224367,26.96745,29.034252,15.140902
1955-09-01,129.12917,144.65285,130.54988,123.4587,124.45596,95.49069,109.37127,87.587944,93.62918
1955-10-01,123.47562,137.19217,56.524273,65.00205,136.00801,47.75916,58.251274,97.55602,74.47577
1955-11-01,84.41815,70.74487,39.83951,53.65684,75.808624,62.84262,34.782204,67.33223,82.468925
1955-12-01,57.635094,55.284584,41.357494,36.802013,41.529938,39.784775,65.80103,47.27977,52.342003
1956-01-01,45.057888,55.401264,32.396286,35.36463,39.705784,34.709927,40.17239,44.18934,39.88321
1956-02-01,198.58128,177.97649,112.35106,134.21251,199.6282,158.43042,179.08113,203.60109,183.07265
1956-03-01,40.299835,100.58814,67.65137,64.799194,12.776572,32.952328,117.36885,81.48904,26.945402
1956-04-01,27.698988,35.162098,9.132547,11.885793,22.578892,10.162073,13.507444,11.870114,12.779214
1956-05-01,24.737438,25.197721,11.297374,18.758373,9.990104,11.637701,9.216869,9.687545,14.956556
1956-06-01,3.6799412,7.0764804,0.33358628,1.3048538,4.929795,0.57407516,0.06607276,0.0,2.8155978
1956-07-01,0.0,0.013396169,0.005906291,0.05239649,0.0,0.0,0.0,0.0,0.0
1956-08-01,0.027174598,0.61891776,0.7628243,0.7840594,0.03973939,0.0016299512,0.0,0.0,0.00702536
1956-09-01,68.1995,60.96833,68.96915,60.729298,90.661,93.093315,83.50261,87.27172,104.34413
1956-10-01,44.438335,41.54534,38.43138,36.319847,46.941864,48.67557,59.269146,85.533195,57.84349
1956-11-01,189.93533,168.72232,117.98488,125.41115,229.4584,145.63077,126.972626,160.24477,171.66606
1956-12-01,53.289654,74.32459,66.25812,49.15361,46.918438,50.36757,97.498924,120.21796,45.502357
1957-01-01,138.75366,158.40909,115.930725,119.81357,100.53309,125.631546,181.21481,155.87096,142.87231
1957-02-01,1.730056,9.731511,1.0311744,2.8926594,0.4856205,2.9846313,2.432831,0.48436674,2.0915308
1957-03-01,69.15907,86.25955,30.970549,31.7793,17.855247,52.922348,32.075928,32.480175,49.595867
1957-04-01,70.60628,83.70817,45.474163,49.57917,55.26984,41.51702,36.468407,25.45349,47.390316
1957-05-01,61.087376,52.825985,48.621178,46.955215,66.490715,66.45914,42.70301,23.284239,59.86782
1957-06-01,7.7138762,6.6685185,0.6432625,1.995492,15.954394,1.3286226,0.9262998,0.0,3.5838215
1957-07-01,0.6170697,1.8811932,0.95177764,5.382006,0.0,0.73714256,0.8270083,0.81230307,1.2028445
1957-08-01,18.382692,33.15064,19.635803,11.669558,13.858576,12.788031,13.549375,4.3351445,6.4915237
1957-09-01,51.751537,122.75066,66.97107,69.08505,32.937885,29.260677,58.406868,47.965946,26.141104
1957-10-01,136.27689,227.09326,262.91287,164.42458,155.66464,149.83778,346.75818,238.1307,169.25249
1957-11-01,101.196365,179.81674,200.17448,126.66681,97.436554,124.29981,239.45868,175.00879,102.345146
1957-12-01,113.627556,148.44815,107.160835,99.57693,135.43077,117.237274,92.13623,92.70333,124.343895
1958-01-01,93.8021,138.12189,90.85236,110.58343,101.72739,68.20478,72.204155,66.982765,78.9414
1958-02-01,50.3458,40.689693,27.232056,27.980938,33.832226,40.67271,33.205776,38.85922,41.67383
1958-03-01,100.3459,100.20316,46.389614,60.67487,57.65874,81.27266,55.2309,68.881874,92.554634
1958-04-01,68.05605,81.53943,37.887108,46.784016,56.878883,38.43331,20.934563,20.769056,47.005253
1958-05-01,27.346947,54.2339,25.214022,24.102419,20.123247,14.7175865,22.561518,35.03331,23.9139
1958-06-01,5.7387924,2.1650314,1.6537956,0.39137465,6.788041,1.0350972,8.513319,14.905529,1.0454664
1958-07-01,3.0371547,5.9118977,1.4107074,1.2664535,1.5273613,2.1998904,0.9516735,1.0158383,1.2357594
1958-08-01,2.0594237,1.9223162,2.0558581,5.519316,0.13076816,0.29613632,3.7231722,0.6447614,0.09547724
1958-09-01,13.656302,40.3163,24.872707,33.6755,1.1894265,17.515604,31.524149,10.768269,5.245901
1958-10-01,73.38894,78.48165,75.75398,33.119637,71.9194,36.812077,96.71982,82.08563,34.54135
1958-11-01,253.35963,402.699,319.71936,348.42462,315.8621,371.95822,321.0671,256.1497,358.64667
1958-12-01,135.81621,78.98827,104.66808,95.7726,135.32251,147.09097,101.17486,125.35582,178.55742
1959-01-01,63.38208,78.49003,40.237156,39.77864,43.983006,56.672176,54.496277,62.82868,64.93059
1959-02-01,12.882221,23.932388,25.667028,17.222433,37.62488,18.356737,42.082066,23.184887,30.51055
1959-03-01,89.5444,94.90583,70.30635,77.52001,70.39543,79.92731,31.913206,39.667583,83.168274
1959-04-01,145.49298,145.64275,100.52706,125.1803,122.91911,158.62267,116.26136,102.480354,156.9469
1959-05-01,27.722795,53.522354,51.73983,46.619328,7.429593,32.107044,78.35373,33.75451,16.387583
1959-06-01,7.8014226,25.615345,24.423292,23.253027,1.7677584,26.575481,17.375502,14.220113,16.252357
1959-07-01,21.535471,43.309395,18.739878,33.64143,5.3852954,19.406872,26.590607,14.19734,16.313807
1959-08-01,6.246019,33.69823,16.31045,7.2855673,7.0361075,1.83848,6.5539775,0.07255339,4.0807295
1959-09-01,25.124807,47.04765,50.207245,56.71303,36.79394,34.52791,33.919594,11.00789,19.15625
1959-10-01,121.06747,113.969345,94.35889,89.96416,127.92224,129.76645,97.7896,58.402523,143.12814
1959-11-01,86.86092,172.98029,89.5708,99.53003,62.47066,93.1861,120.055305,112.39674,99.362434
1959-12-01,103.474075,86.8662,36.201218,68.13098,80.0724,90.76821,44.220825,50.72532,111.98586
1960-01-01,139.19647,140.46698,92.8108,126.55454,80.72994,154.36005,94.63935,102.697754,141.59618
1960-02-01,53.274242,75.22791,73.494255,49.714066,47.19778,44.483185,68.45852,29.794086,58.95816
1960-03-01,114.51603,161.4567,94.16847,82.64203,80.96832,76.96852,120.90556,81.63455,83.133896
1960-04-01,87.79818,96.51436,54.79079,57.213047,69.04474,61.348022,59.243217,57.85797,77.1895
1960-05-01,47.44018,82.92959,52.19789,48.647682,17.740688,38.256657,48.636288,23.15067,24.133612
1960-06-01,17.660297,27.722528,19.903976,31.238861,5.7153697,8.470523,19.263361,10.725725,5.5360427
1960-07-01,3.491829,3.772398,0.7018897,0.15194578,0.40026897,0.0,0.16795899,0.0,0.016366841
1960-08-01,0.04049565,0.011442525,0.00387584,0.0,0.1478893,0.0,0.0,0.0,0.0
1960-09-01,19.112,57.45424,22.107973,18.961323,32.418064,11.131678,24.658373,20.803968,32.00241
1960-10-01,66.4062,56.91427,37.69953,40.83482,44.67915,48.546223,26.200785,13.6457405,47.212276
1960-11-01,57.872673,51.098656,25.963398,28.824663,36.238167,35.60113,18.233585,28.00803,38.240017
1960-12-01,160.10168,145.08301,130.27127,134.80902,121.40052,181.10498,151.42679,148.0129,177.09544
1961-01-01,163.17517,203.11308,89.94244,109.78774,123.70896,108.773506,97.555244,97.52419,136.59659
1961-02-01,30.790855,54.26855,13.476551,10.941097,13.266287,9.764946,13.885547,16.30871,14.222983
1961-03-01,33.79584,35.08749,24.207914,24.276875,11.62937,25.82067,47.689598,20.954018,29.47278
1961-04-01,37.66864,45.911297,20.836855,23.390783,9.699783,27.477814,25.568432,29.298874,23.932734
1961-05-01,10.441599,16.983711,4.3325295,6.616367,9.598088,2.722199,13.20419,0.6761517,1.1483305
1961-06-01,17.33923,21.324387,14.452463,19.159391,16.357586,14.098452,11.250315,11.203486,17.251905
1961-07-01,8.148085,20.430168,16.166397,20.800474,2.5567324,12.361441,13.84006,23.291607,19.170258
1961-08-01,2.1760323,9.809312,8.51711,12.4623375,2.1828134,3.075152,6.83342,1.5827594,1.5051242
