data,Palermo_SPI1,Messina_SPI1,Catania_SPI1,Enna_SPI1,Trapani_SPI1,Caltanissetta_SPI1,Siracusa_SPI1,Ragusa_SPI1,Agrigento_SPI1,Palermo_SPI2,Messina_SPI2,Catania_SPI2,Enna_SPI2,Trapani_SPI2,Caltanissetta_SPI2,Siracusa_SPI2,Ragusa_SPI2,Agrigento_SPI2,Palermo_SPI3,Messina_SPI3,Catania_SPI3,Enna_SPI3,Trapani_SPI3,Caltanissetta_SPI3,Siracusa_SPI3,Ragusa_SPI3,Agrigento_SPI3
1951-01-01,0.7805270817883803,0.8684083138597928,0.8144463884649761,0.6781456215416571,0.6033877806869852,0.7745437093947597,1.4475693618283803,0.9683712793316366,0.7858242369280112,0.4172829652327562,0.48701789843979676,-0.2368322997587938,0.08763180415514647,0.008986455596271639,-0.03346224439828417,-0.4237232900117554,-0.18019496954740644,0.04159462663881665,0.28962485419822837,0.2234059526157051,0.10382729756773938,0.1648530982295181,0.2843484555765006,0.2069462658415388,0.10329175793814296,0.15063439512011634,0.2203673534870263
1951-02-01,-1.147574261020411,-1.9780426521097305,-0.8643413468614124,-0.7616479481500685,-0.516692887695644,-0.5790464539484125,-1.5501044794780703,-0.9391801876025311,-0.641771569306637,0.6838156995681073,0.720858359912638,0.0035054546053848354,0.19699118897205997,0.15381915870905494,0.18765163648749766,0.30873549982315485,0.1830915280892325,0.30530924769050843,-0.061445612204822045,-0.3721030184585543,-0.35021933048595616,-0.24331685813680595,0.14701997920105334,-0.18095325933392314,-0.5814683700299573,-0.2913007730176683,-0.0853196508645377
1951-03-01,0.18214314403784684,-0.2116143076309738,-0.4645401596976549,-0.23310839609481382,0.00870909382947544,-0.06426950977741668,-1.0355127451631232,-0.520309257134115,-0.07054752510743492,1.2408078711536186,1.4219670446624855,0.2715832327869289,0.6473439347537902,0.4756453085960789,0.5955469558808919,0.27041337731821613,0.49962196404362,0.6726873487407133,0.4954425813672055,-0.01961801064404276,-0.8536257561645972,-0.5211214615308987,0.18101726366145304,-0.028639044583384003,-1.2127735670130708,-0.374585909768939,0.19397307858483828
1951-04-01,-0.043921135156193634,-1.3373393376977623,-0.09618225438660541,-0.33032011157169444,-0.03450819331946686,-0.4082689823755315,1.3051659979296928,-0.8103140031266077,-0.048684721212608514,0.67700921327618,0.40165905594415385,-0.3427349738915727,0.0014844698175912646,0.338162083482791,0.17966370220180725,-1.0255451239140425,-0.2615473063641115,0.1749974799851144,1.6077357927187457,0.9628625620560474,-0.20303477074800125,0.12214459171507548,0.8859628020636863,0.49606879403944104,-0.3917006450278963,0.21424842390064905,0.7323953131503048
1951-05-01,-0.42758974078913076,-0.9393074810600514,-0.7630913248533855,-0.9383244285562324,-0.19449005126716806,-0.7229946270751979,-0.8924215216271405,-0.6959560014149963,-0.4599135780332812,0.5824154275243211,0.4201936835048018,-0.5191672124982547,-0.2753180573858104,0.16030989121600978,-0.12386522392356863,-1.0913709592227692,-0.46990371591847585,-0.07845993681545411,0.5694241918678209,-0.43273869359965167,-1.0351838242650853,-0.7810193291219785,0.2591437880366511,-0.26254823531539057,-0.9370264367739833,-0.7404968398327083,-0.02670627001927103
1951-06-01,-1.0019792015675275,-3.271698040415743,-1.5043266930274926,-2.149398830566403,-0.42202589987713884,-0.620641529734346,-2.589197975509532,-1.7474944074087664,-0.770168337386294,-0.5128560372460566,-1.293621990825859,-1.8818344293980978,-1.8831044193186481,-0.4567865572093601,-1.3417409482679339,-2.8061808653482903,-1.809656419333695,-1.0625839768888643,0.07466053495410999,-0.41337045987942955,-1.0813947507757036,-0.8568934292497983,-0.11990294467427097,-0.5219849639158595,-1.0397267812083186,-0.8514874587858343,-0.3507549690490883
1951-07-01,-0.8319367498834767,-1.6386319644985825,-1.4384551798860694,-1.7669533178371772,-0.24047435711273174,-1.1200053766356666,-2.342174263950737,-1.5066081855051698,-1.0114478004623,-1.2090236975215511,-1.8082896384027451,-1.9132354945894154,-2.030188448617258,-1.230226267259738,-1.705903163849407,-2.410356194362723,-1.799143343991627,-1.4910947181605232,-1.0585317762227096,-1.3278686228799739,-1.2357123420048883,-1.4321781576226176,-0.9272059375027654,-1.25866808689613,-0.7674295106446148,-1.0914468490491713,-1.1317003303584583
1951-08-01,-0.2731187063251413,1.2197306112936683,1.6243839168570233,1.9637847120564007,-0.43382454788969316,0.30256270187000234,3.3125768765442536,1.0387256609831843,0.084566260064714,-1.4621355965118985,-2.0002647657402615,-1.721830459391287,-1.787423625511209,-1.4902082893977757,-1.3743799419201392,-2.1940793023321477,-1.6769701223497446,-1.540272177909386,-1.2818926413626806,-1.9353495599788562,-1.3048452275633777,-1.516126919334369,-1.1654374282690865,-1.2840595647647661,-0.8762286760381659,-1.1314663937842915,-1.251447986968197
1951-09-01,0.5078549596706566,-0.895957771009626,0.0798720358554535,-0.3000804429448113,0.8262479924143418,0.39800818157471657,-0.5275378977937422,-0.025223442785450755,0.3334074746130905,-0.2363172385760987,-0.6213008149240082,-0.1636094808591326,-0.2802129994458699,-0.386684870008474,-0.22581358943190818,-0.12422858060836597,-0.20197759456178874,-0.519677308777795,-0.6721691732344675,-1.0146417864680084,0.1558384590563232,-0.24200323737204527,-0.6104386415666991,-0.3416908226569614,0.5095790161583532,-0.1503805844920736,-0.7113697530713471
1951-10-01,1.6329235149460024,3.1989567159177117,2.7119479942618088,2.619653018634248,1.527952229132019,1.9635221656773936,3.368204669157297,2.718742816755959,1.6794538850888618,1.0912516621508468,2.0141639090856462,1.622453160098391,1.6209165352946404,0.9055217565164736,1.273208570696436,2.0046033962688323,1.5744572454105223,1.0273673210129048,0.9336192948282033,2.73202814547002,2.3965511724861948,2.2011839878088737,0.6612549411008636,1.1738089423885518,3.0762967473126284,2.0180578367903053,0.827704132266476
