indice,versione,media,std,min,max,pct_|SPI|>3
SPI1,ricalcolato,0.06849999725818634,0.9427000284194946,-4.7,4.43,0.37
SPI1,fornito,-0.4396,0.8187,-6.29,12.08,0.16
SPI2,ricalcolato,0.015599999576807022,0.9793999791145325,-4.75,4.75,0.32
SPI2,fornito,-0.0355,1.0226,-7.18,9.11,0.34
SPI3,ricalcolato,0.001500000013038516,0.9957000017166138,-4.75,4.73,0.25
SPI3,fornito,-0.0389,1.0632,-7.34,11.75,0.84
